일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10)
2021-03-30,11.766666666666666,4.766666666666667,19.433333333333334,,1.3,41.699999999999996,11.366666666666667,23.54,1.0666666666666667
2021-03-31,13.9,3.1,23.8,,0.9,40.03333333333333,11.200000000000001,22.990000000000002,3.4333333333333336
2021-04-01,15.233333333333334,9.533333333333333,21.400000000000002,,2.8666666666666667,39.766666666666666,8.2,17.89,6.633333333333333
2021-04-02,17.2,12.233333333333334,22.03333333333333,0.0,2.733333333333333,47.6,5.866666666666667,17.23,7.466666666666666
2021-04-03,16.099999999999998,14.299999999999999,18.233333333333334,21.2,1.5666666666666667,79.36666666666667,0.0,3.7249999999999996,9.299999999999999
2021-04-04,11.066666666666668,8.166666666666666,14.299999999999999,12.299999999999999,2.0,83.76666666666667,1.0333333333333334,8.795,8.166666666666666
2021-04-05,10.700000000000001,3.466666666666667,17.666666666666668,,1.3333333333333333,54.63333333333333,11.700000000000001,25.375,0.7333333333333334
2021-04-06,12.466666666666667,5.066666666666666,20.266666666666666,,1.5333333333333332,49.333333333333336,9.633333333333333,22.799999999999997,2.0
2021-04-07,13.466666666666667,5.6000000000000005,21.933333333333334,,1.3333333333333333,45.1,11.633333333333333,24.595,1.0666666666666667
2021-04-08,12.333333333333334,5.866666666666667,19.3,,1.5333333333333332,40.666666666666664,11.4,25.04,0.5333333333333333
2021-04-09,11.133333333333333,3.733333333333333,18.46666666666667,,2.1999999999999997,51.333333333333336,10.766666666666666,22.675,1.8
2021-04-10,12.166666666666666,5.533333333333334,19.133333333333336,,1.4666666666666668,51.166666666666664,11.166666666666666,22.72,1.2666666666666666
2021-04-11,14.566666666666668,5.2,22.733333333333334,,1.1333333333333335,50.4,11.433333333333332,23.53,2.466666666666667
2021-04-12,13.200000000000001,11.299999999999999,16.133333333333336,12.066666666666668,2.1666666666666665,68.10000000000001,0.0,5.645,9.966666666666667
2021-04-13,11.066666666666668,5.2,16.933333333333334,1.6333333333333335,2.4,71.36666666666666,6.8,19.345,5.1000000000000005
2021-04-14,9.0,2.8666666666666667,15.9,,1.9333333333333333,49.03333333333333,11.866666666666665,26.634999999999998,1.4000000000000001
2021-04-15,10.700000000000001,1.8333333333333333,18.96666666666667,,1.0333333333333334,48.6,11.299999999999999,23.695,4.3999999999999995
2021-04-16,11.200000000000001,7.7,15.299999999999999,0.03333333333333333,1.3,71.89999999999999,0.9666666666666667,5.359999999999999,8.666666666666666
2021-04-17,10.0,6.2,16.033333333333335,0.0,1.9666666666666668,56.0,7.266666666666667,17.85,4.5
2021-04-18,10.5,6.333333333333333,16.633333333333336,,2.233333333333333,54.36666666666667,8.9,23.67,2.8333333333333335
2021-04-19,12.933333333333332,3.233333333333334,21.866666666666664,,1.5333333333333332,54.43333333333334,12.0,26.265,0.03333333333333333
2021-04-20,15.266666666666666,5.5,24.833333333333332,,1.0666666666666667,50.96666666666667,10.9,24.455,3.266666666666667
