lead_time,model_name,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
T+1,XGBoost,0.24,0.9945205479452055,0.9897610921501706,0.9897610921501706,0.9897610921501706,0.9997787102210344,0.9994306880823147,0.9930102218855591,799,3,3,290
T+1,XGBoost,0.25,0.9945205479452055,0.9897610921501706,0.9897610921501706,0.9897610921501706,0.9997787102210344,0.9994306880823147,0.9930102218855591,799,3,3,290
T+1,XGBoost,0.26,0.9945205479452055,0.9897610921501706,0.9897610921501706,0.9897610921501706,0.9997787102210344,0.9994306880823147,0.9930102218855591,799,3,3,290
T+1,XGBoost,0.27,0.9945205479452055,0.9897610921501706,0.9897610921501706,0.9897610921501706,0.9997787102210344,0.9994306880823147,0.9930102218855591,799,3,3,290
T+1,XGBoost,0.28,0.9945205479452055,0.9897610921501706,0.9897610921501706,0.9897610921501706,0.9997787102210344,0.9994306880823147,0.9930102218855591,799,3,3,290
T+1,XGBoost,0.29,0.9945205479452055,0.9897610921501706,0.9897610921501706,0.9897610921501706,0.9997787102210344,0.9994306880823147,0.9930102218855591,799,3,3,290
T+1,XGBoost,0.3,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.31,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.32,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.33,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.34,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.35,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.36,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.37,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.38,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.39,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.4,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.41,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.42,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.43,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.44,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.45,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.46,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.47,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.48,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.49,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.5,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.51,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.52,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.53,0.9954337899543378,0.9931506849315068,0.9897610921501706,0.9914529914529915,0.9997787102210344,0.9994306880823147,0.9936336632820679,800,2,3,290
T+1,XGBoost,0.54,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.55,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.56,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.57,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.58,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.59,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.6,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.61,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.62,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.63,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.64,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.65,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.66,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.67,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.68,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.69,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.7,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.71,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.72,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.73,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.74,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.75,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.76,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.77,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.78,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.79,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.8,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.81,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
T+1,XGBoost,0.82,0.9963470319634703,0.9965635738831615,0.9897610921501706,0.9931506849315068,0.9997787102210344,0.9994306880823147,0.9942571046785766,801,1,3,290
